trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
43,2,2227,1826,557,3,0.585278276481149,0.4675925925925926,0.4654377880184331,0.4665127020785219,0.5851038776934799,0.5918473841149363,True,balanced,entropy,10.0,log2,0.8272764108851351,18,23,900,-1,73
43,3,2227,1802,557,15,0.5709156193895871,0.4525862068965517,0.4838709677419355,0.4677060133630289,0.5732436556157501,0.5889129845486581,True,balanced,entropy,10.0,log2,0.8272764108851351,18,23,900,-1,73
43,4,2227,1828,557,8,0.5278276481149012,0.4115384615384615,0.4930875576036866,0.4486373165618448,0.5331733062888124,0.5431146652209271,True,balanced,entropy,10.0,log2,0.8272764108851351,18,23,900,-1,73
43,5,2228,1818,556,17,0.5683453237410072,0.4439024390243902,0.4193548387096774,0.4312796208530806,0.5659615723864346,0.5661133993991544,True,balanced,entropy,10.0,log2,0.8272764108851351,18,23,900,-1,73
44,1,2227,1826,557,24,0.6750448833034112,0.5868544600938967,0.573394495412844,0.580046403712297,0.674349433233198,0.6878839544261319,True,balanced,entropy,,sqrt,0.9200939827503622,20,20,1000,-1,73
44,2,2227,1826,557,3,0.5888689407540395,0.4722222222222222,0.4700460829493088,0.4711316397228637,0.5886960519125841,0.589699105448631,True,balanced,entropy,,sqrt,0.9200939827503622,20,20,1000,-1,73
44,3,2227,1802,557,15,0.5691202872531418,0.4502164502164502,0.4792626728110599,0.4642857142857143,0.5713240170152198,0.5894009216589862,True,balanced,entropy,,sqrt,0.9200939827503622,20,20,1000,-1,73
44,4,2227,1828,557,8,0.533213644524237,0.4143426294820717,0.4792626728110599,0.4444444444444444,0.5378857076863313,0.5347384114936297,True,balanced,entropy,,sqrt,0.9200939827503622,20,20,1000,-1,73
44,5,2228,1818,556,17,0.564748201438849,0.4413145539906103,0.4331797235023041,0.4372093023255814,0.5640001727050468,0.5685330940826231,True,balanced,entropy,,sqrt,0.9200939827503622,20,20,1000,-1,73
45,1,2227,1826,557,24,0.6750448833034112,0.5920398009950248,0.5458715596330275,0.568019093078759,0.6724269862763333,0.6796839057129713,True,balanced,entropy,10.0,0.5,0.8766977073531175,1,30,600,-1,73
45,2,2227,1826,557,3,0.5798922800718133,0.4577114427860697,0.423963133640553,0.4401913875598086,0.5766807653014224,0.5872526429926809,True,balanced,entropy,10.0,0.5,0.8766977073531175,1,30,600,-1,73
45,3,2227,1802,557,15,0.5906642728904847,0.473170731707317,0.4470046082949309,0.4597156398104265,0.5883934873457438,0.5964624559501219,True,balanced,entropy,10.0,0.5,0.8766977073531175,1,30,600,-1,73
45,4,2227,1828,557,8,0.5278276481149012,0.408,0.4700460829493088,0.436830835117773,0.5324689075104271,0.529208457576579,True,balanced,entropy,10.0,0.5,0.8766977073531175,1,30,600,-1,73
45,5,2228,1818,556,17,0.5557553956834532,0.425,0.391705069124424,0.407673860911271,0.5521332574228388,0.565719179478814,True,balanced,entropy,10.0,0.5,0.8766977073531175,1,30,600,-1,73
46,1,2227,1826,557,24,0.6624775583482945,0.5663716814159292,0.5871559633027523,0.5765765765765766,0.6635032417127329,0.683648615734351,True,balanced_subsample,entropy,20.0,,0.8999526931588583,19,39,1000,-1,73
46,2,2227,1826,557,3,0.5834829443447038,0.4654377880184331,0.4654377880184331,0.4654377880184331,0.5834829443447038,0.5855990783410139,True,balanced_subsample,entropy,20.0,,0.8999526931588583,19,39,1000,-1,73
46,3,2227,1802,557,15,0.5709156193895871,0.4508928571428571,0.4654377880184331,0.4580498866213152,0.5720895571746955,0.5904174573055029,True,balanced_subsample,entropy,20.0,,0.8999526931588583,19,39,1000,-1,73
