trial_number,objective_value,is_best,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
48,0.4761538641690215,False,True,balanced,log_loss,10.0,0.3,0.7899013691557581,17,16,500,-1,73,0.5872789739483099,0.0435786449116961,0.4741860680707398,0.0546882017140381,0.4796812243690018,0.0415708348395248,0.4761538641690215,0.0451900073946409,0.587587890005517,0.0419263217451022,0.593745635525802,0.048810040688567
49,0.318865239718905,False,True,,gini,50.0,0.5,0.9661200326060104,20,6,1000,-1,73,0.6271476176330031,0.021934002498793,0.545127688172043,0.0562516959355098,0.2273411406586902,0.0618090450701317,0.318865239718905,0.0711679456461827,0.5775587838171339,0.0337564464112454,0.596474385399832,0.051382004512889
50,0.4756179823113861,False,True,balanced,entropy,10.0,log2,0.675824034762259,19,25,700,-1,73,0.587638040375599,0.0414137475686587,0.4746120912974292,0.0532505294468633,0.4787680209698559,0.0443104419236832,0.4756179823113861,0.0439248015202197,0.5876789674416416,0.0397290885908831,0.5942871315465663,0.0486074510635039
51,0.4768800711090685,False,True,balanced,entropy,10.0,0.5,0.9046660884051246,19,22,900,-1,73,0.5826065897730649,0.0450228326924221,0.4681356965957822,0.0544803580484246,0.4870249017038007,0.0496207362600729,0.4768800711090685,0.0502463290293661,0.5838583176285604,0.0439729765634096,0.5948309440137652,0.0454104141808559
52,0.4785661276218392,False,True,balanced,entropy,10.0,0.5,0.9388947574117952,18,20,900,-1,73,0.5869199075210209,0.0461298740982731,0.4734032654090344,0.0561243595208797,0.4851815837314505,0.0502136870719866,0.4785661276218392,0.0508623822635229,0.5876193579416672,0.0449232640035055,0.5957514291141531,0.0457789786739467
53,0.4827912258223679,False,True,balanced,entropy,10.0,0.5,0.8901838514273013,20,19,900,-1,73,0.5844025677124369,0.045379043676838,0.4710731457985293,0.0547229112461159,0.496241491565552,0.0468157731297611,0.4827912258223679,0.0490014625877418,0.5860713139979782,0.0441873982264851,0.5948795365689797,0.0466106461167464
54,0.4849617485390393,True,True,balanced,entropy,10.0,0.5,0.8526816618494297,20,15,800,-1,73,0.5883581106389574,0.0424537843520421,0.475379285800025,0.0511061205928831,0.4962372637720373,0.0472075166367163,0.4849617485390393,0.0465885636192809,0.5896408642220304,0.041333157026567,0.5953884797901383,0.0456279725217232
55,0.4797865091633294,False,True,balanced,entropy,15.0,log2,0.8648840887149352,17,14,800,-1,73,0.5890755976906087,0.0488452854756752,0.4764586226495794,0.0619324006822488,0.4842641525387899,0.0471920273228471,0.4797865091633294,0.0530138140032179,0.5896796286357924,0.047419652943617,0.5948734088726985,0.0514668760552074
56,0.4733547197925546,False,True,balanced,entropy,30.0,sqrt,0.8277533012102893,20,12,800,-1,73,0.579376283533317,0.039811423508023,0.4640000585745873,0.0479387580857453,0.4842768359193335,0.0459096687589394,0.4733547197925546,0.0446238978847007,0.5806781898660177,0.0388153950230456,0.5930145068264927,0.0520827449223658
57,0.4639407337438681,False,True,balanced,entropy,50.0,0.5,0.8722228456983181,10,17,1000,-1,73,0.597330896503623,0.046189359061651,0.4831762731862351,0.0667681291749831,0.4474231598528727,0.0637624969371702,0.4639407337438681,0.0633522046578931,0.5939680888272136,0.0464359456683736,0.5918029807653589,0.0528486057890591
58,0.4792605876534138,False,True,balanced,entropy,10.0,,0.8478508706669265,18,10,900,-1,73,0.5883568190331039,0.0393468244633312,0.4746767757554112,0.0479708178709133,0.4851942671119943,0.0444691685915979,0.4792605876534138,0.043441646798157,0.5889370414698436,0.0382432288586851,0.5945106837398512,0.0462974509913655
59,0.4662783040625774,False,True,balanced,entropy,5.0,0.5,0.7653668103196074,20,15,1000,-1,73,0.577582888805652,0.0429012482088722,0.4637448086275925,0.0548735372368438,0.4714158880480277,0.0342099989303421,0.4662783040625774,0.0379882936921319,0.5779714619265389,0.0402776149868194,0.5926531509397333,0.0390665495034587
60,0.4743387417936002,False,True,balanced_subsample,entropy,,log2,0.8156216738999206,18,18,900,-1,73,0.584405150924144,0.042748313569751,0.4696882566893415,0.0534612074741366,0.4805859721811186,0.0519109925818019,0.4743387417936002,0.0499496343692585,0.5849611612464942,0.041791309686296,0.5942342542330333,0.0496853605805275
61,0.4819821036909005,False,True,balanced,entropy,10.0,0.5,0.8917372067031637,20,19,900,-1,73,0.5847622799426528,0.0452000828202316,0.471380830697982,0.0544164447347106,0.4943981735932016,0.0484185253560726,0.4819821036909005,0.0491495225431258,0.5862216663810081,0.0440285919222728,0.5949403749798285,0.0480643676225512
62,0.4820560742612473,False,True,balanced,entropy,10.0,0.5,0.8899283061115959,19,19,800,-1,73,0.5847635715485063,0.0466195316247555,0.4715217091841586,0.0556834425185666,0.4943939457996871,0.0488842058077828,0.4820560742612473,0.0501880857046991,0.5862285518234631,0.0453809779142821,0.5950028090654428,0.0460180272284203
63,0.4845937941784862,False,True,balanced,entropy,10.0,0.5,0.8889568080952891,20,19,700,-1,73,0.5862004830605893,0.047320792367462,0.4731290490018476,0.0573640318133594,0.4980721261573585,0.0536807462671507,0.4845937941784862,0.0530943922534369,0.587727002359075,0.046252605560348,0.5951429761563818,0.0470872277585254
64,0.4802651880765398,False,True,balanced,entropy,10.0,0.5,0.8387074819451776,20,19,700,-1,73,0.5840467302997817,0.0428005802559995,0.4698626519312732,0.0505134717666018,0.4925464000338223,0.0521212315991901,0.4802651880765398,0.0485815937923398,0.5853812058076096,0.0418701458039477,0.5968236016943423,0.0467950393195711
65,0.4760216584009911,False,True,balanced,entropy,10.0,0.5,0.8572543532706071,20,16,700,-1,73,0.581175490487323,0.040290588655084,0.4666856405530061,0.04761864427971,0.4870375850843444,0.0425186324634978,0.4760216584009911,0.0423591256721935,0.5824745359694798,0.0390158020944622,0.5943039396117615,0.0462128599839935
66,0.4783030740794691,False,True,balanced,entropy,10.0,0.5,0.8863408650345614,19,12,800,-1,73,0.5851200547640881,0.0453796147598173,0.4713332286804385,0.0553409839604599,0.4870291294973153,0.0515241450598874,0.4783030740794691,0.0506042031476864,0.5860194209567992,0.0442451826040852,0.5951313306870413,0.0455238402291866
67,0.4464244807908504,False,True,balanced,log_loss,10.0,0.5,0.8535381038188106,4,17,600,-1,73,0.582600131743797,0.0485344292874471,0.4644663805961732,0.0674351844331807,0.4308544370692935,0.0551489112014723,0.4464244807908504,0.0590186988488735,0.5794582328377009,0.0476345943748745,0.5910879552422289,0.0499307710457944
