trial_number,objective_value,is_best,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
30,0.405696319102834,False,0.7733167363132734,logloss,0.9612256407596028,0.1350300265030876,7,8,600,-1,binary:logistic,73,0.0029915917288191,2.7656020658403486,0.637354799008003,hist,0,0.5829727600325485,0.0381055328238371,0.4565630761130458,0.0605249071473265,0.3654716103665497,0.0541099797945712,0.405696319102834,0.0564975563469735,0.5721843890700997,0.0391508089683999,0.5561163253653254,0.0569600244909728
31,0.3975348179158365,False,0.7357048282337988,logloss,0.0315399583563651,0.1462413505066943,7,8,600,-1,binary:logistic,73,0.0023275163518497,2.971822996113341,0.6358800405250042,hist,0,0.5725527298089714,0.0312441894746475,0.4389920880632955,0.0505867971565257,0.3645372679998309,0.0678944234049538,0.3975348179158365,0.0608410609288421,0.562697977949643,0.0347707905736212,0.5508272903506486,0.0595141560155599
32,0.3926086519013316,False,0.8213053952267669,logloss,0.9663490805500184,0.0666244371238312,8,7,600,-1,binary:logistic,73,0.0199055864994818,4.880157865076031,0.7027333668124198,hist,0,0.5847661547602133,0.0332586425416601,0.4549945452812547,0.0562038071366426,0.3470342028495328,0.0689855253842351,0.3926086519013316,0.0630844766900547,0.5703659750053365,0.036594606133676,0.5630996551600916,0.0542894013784483
33,0.4001574218586227,False,0.783694894433538,logloss,0.3766441757273649,0.1411876076176414,8,8,500,-1,binary:logistic,73,0.1476898266174286,7.416225172795596,0.6261182538091793,hist,0,0.5729098588274802,0.0377963974852668,0.4393550266937364,0.0613315413310302,0.3682112205639877,0.0740685938855189,0.4001574218586227,0.0691669142794096,0.5635961484208207,0.0415817042374026,0.555769767122672,0.0594003547352522
34,0.3907726008610057,False,0.7727765209842332,logloss,0.481818858790366,0.1091095497131844,7,6,600,-1,binary:logistic,73,0.0004278251428848,1.1506553326289384,0.6744467105680177,hist,0,0.5671725456259769,0.0449615083775185,0.4331255972365415,0.070746614546302,0.3571851350780028,0.0672220019691938,0.3907726008610057,0.0676207281292391,0.5573907453376487,0.0460730118830753,0.5512697145265144,0.0542282218508787
35,0.3877923986040745,False,0.8365982424922438,logloss,0.0077403306171769,0.223807532064299,8,7,600,-1,binary:logistic,73,0.0045800985189901,1.5110168147449747,0.6221180381936587,hist,0,0.5556682122883381,0.0388656001171316,0.4177720941795056,0.0602501221373794,0.3626981778209952,0.0665929933329214,0.3877923986040745,0.0634613393603948,0.5482872015379787,0.0408699753779522,0.544815478564621,0.0547813633662363
36,0.386985579797488,False,0.9185432385935652,logloss,1.3220183509722236,0.0872974973331671,5,9,300,-1,binary:logistic,73,0.0193260899875979,0.1466217365985031,0.7229073200689509,hist,0,0.5908722214329075,0.038607242421119,0.4642472852318973,0.0660148685148386,0.3332177736439352,0.0670992819668977,0.386985579797488,0.0663409812168196,0.5734081491096076,0.0412952016439999,0.5708707297368948,0.0565455160581243
37,0.3936619476708812,False,0.730780024773165,logloss,0.982157020242354,0.1651701471823377,7,6,500,-1,binary:logistic,73,0.0013401029211897,0.7551964928931422,0.6923622688650848,hist,0,0.5700340983945338,0.0328083636135196,0.4354431487764821,0.056188650644172,0.3599670232105864,0.0629267598792087,0.3936619476708812,0.0600994849903499,0.5601544139691307,0.036040143126636,0.5517044323510818,0.0582125785292613
38,0.4008173905325115,False,0.686879843716544,logloss,0.3643152557408025,0.2173271093566613,6,5,200,-1,binary:logistic,73,5.1944100193547e-05,2.8291259281445784,0.6068292972070345,hist,0,0.5660817844826472,0.0377071691391988,0.432472499072944,0.0589968059075345,0.3737580856550966,0.0647257485886531,0.4008173905325115,0.0625581988319193,0.5587750164170412,0.0402292841798601,0.5508171409685377,0.0492409793973516
39,0.4005106486256714,False,0.7219569400469703,logloss,2.9555209880465263,0.2926543622672888,8,8,600,-1,binary:logistic,73,0.0002472560230158,1.7104746052557784,0.6698854945359674,hist,0,0.5926649703576456,0.0269244168495508,0.4696895025540258,0.0433919423328342,0.3534689045787004,0.0735768170931642,0.4005106486256714,0.0582708140882186,0.577326266347371,0.0292064912355989,0.5627742415338067,0.048256253362203
