trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_colsample_bytree,param_eval_metric,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_n_jobs,param_objective,param_random_state,param_reg_alpha,param_reg_lambda,param_subsample,param_tree_method,param_verbosity
6,5,2228,1818,556,17,0.5863309352517986,0.4488188976377952,0.2626728110599078,0.3313953488372093,0.5564556712188388,0.5626741704389434,0.875394498667847,logloss,3.9650350078750742,0.2654099557555474,6,9,100,-1,binary:logistic,73,0.0020735497997211,4.153281029591246,0.6022222985971283,hist,0
7,1,2227,1826,557,24,0.6588868940754039,0.6842105263157895,0.2385321100917431,0.3537414965986394,0.6060446423172325,0.6546642851343671,0.8011540601618066,logloss,3.3678250358467423,0.0549393717223349,3,2,100,-1,binary:logistic,73,3.4697700669368306e-06,3.801560527618384,0.97115614980142,hist,0
7,2,2227,1826,557,3,0.6355475763016158,0.71875,0.1059907834101382,0.1847389558232931,0.5391318597831306,0.5738208186500406,0.8011540601618066,logloss,3.3678250358467423,0.0549393717223349,3,2,100,-1,binary:logistic,73,3.4697700669368306e-06,3.801560527618384,0.97115614980142,hist,0
7,3,2227,1802,557,15,0.6014362657091562,0.4666666666666667,0.1612903225806451,0.2397260273972602,0.5389510420591693,0.5883369476822987,0.8011540601618066,logloss,3.3678250358467423,0.0549393717223349,3,2,100,-1,binary:logistic,73,3.4697700669368306e-06,3.801560527618384,0.97115614980142,hist,0
7,4,2227,1828,557,8,0.6068222621184919,0.4705882352941176,0.0737327188940092,0.1274900398406374,0.5051793922727823,0.5341691515315804,0.8011540601618066,logloss,3.3678250358467423,0.0549393717223349,3,2,100,-1,binary:logistic,73,3.4697700669368306e-06,3.801560527618384,0.97115614980142,hist,0
7,5,2228,1818,556,17,0.6115107913669064,0.5128205128205128,0.0921658986175115,0.15625,0.5168420754050964,0.5665008224243165,0.8011540601618066,logloss,3.3678250358467423,0.0549393717223349,3,2,100,-1,binary:logistic,73,3.4697700669368306e-06,3.801560527618384,0.97115614980142,hist,0
8,1,2227,1826,557,24,0.6678635547576302,0.627906976744186,0.3715596330275229,0.4668587896253602,0.6445396641490617,0.654447782198046,0.9524749187597724,logloss,4.948073707755076,0.1472806139687378,3,6,500,-1,binary:logistic,73,2.2181717360182337e-05,0.5133064898511264,0.7734278923554754,hist,0
8,2,2227,1826,557,3,0.6337522441651705,0.6140350877192983,0.1612903225806451,0.2554744525547445,0.5616993314774704,0.5778530767145569,0.9524749187597724,logloss,4.948073707755076,0.1472806139687378,3,6,500,-1,binary:logistic,73,2.2181717360182337e-05,0.5133064898511264,0.7734278923554754,hist,0
8,3,2227,1802,557,15,0.5978456014362658,0.4690265486725664,0.2442396313364055,0.3212121212121212,0.5611493234473486,0.571530224993223,0.9524749187597724,logloss,4.948073707755076,0.1472806139687378,3,6,500,-1,binary:logistic,73,2.2181717360182337e-05,0.5133064898511264,0.7734278923554754,hist,0
8,4,2227,1828,557,8,0.6032315978456014,0.4756097560975609,0.1797235023041474,0.2608695652173913,0.5465213225022784,0.5153971265925725,0.9524749187597724,logloss,4.948073707755076,0.1472806139687378,3,6,500,-1,binary:logistic,73,2.2181717360182337e-05,0.5133064898511264,0.7734278923554754,hist,0
8,5,2228,1818,556,17,0.5755395683453237,0.415929203539823,0.216589861751152,0.2848484848484848,0.5368798846066137,0.5572910294577437,0.9524749187597724,logloss,4.948073707755076,0.1472806139687378,3,6,500,-1,binary:logistic,73,2.2181717360182337e-05,0.5133064898511264,0.7734278923554754,hist,0
