trial_number,objective_value,is_best,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
40,0.0486081348793213,False,False,,log_loss,5.0,log2,,7,14,900,-1,73,0.6131459643775106,0.0053129047750699,0.5977777777777777,0.0995611433482069,0.0257514902972138,0.0180042581072333,0.0486081348793213,0.0327374769593944,0.4807801137950737,0.0131255146737577,0.5917992431332597,0.043874320897948
41,0.4893199378583517,False,False,balanced,log_loss,30.0,log2,,6,5,800,-1,73,0.5793737003216098,0.0397440517389403,0.4662806216485852,0.0462852546370939,0.5155921024817147,0.0383787945786788,0.4893199378583517,0.041099404728345,0.5824716296853664,0.0386799267641472,0.599730513009914,0.0486402058690049
42,0.4593641454483924,False,False,balanced,log_loss,30.0,log2,,2,5,800,-1,73,0.5973373545328908,0.0347626416182444,0.4855684699554968,0.0512016981115277,0.4410349638523654,0.063892915514266,0.4593641454483924,0.04673914988276,0.5922972347491946,0.0329279909690391,0.5962477960618049,0.0486994146644439
43,0.4846999453344122,False,False,balanced,log_loss,30.0,log2,,5,9,800,-1,73,0.580094416387895,0.0342809213936434,0.4654769365573988,0.0410029232475642,0.5063797404134782,0.0445730445607911,0.4846999453344122,0.0408367585968229,0.582675521440171,0.0337153950986347,0.6001019041290929,0.0475204239441055
44,0.4846999453344122,False,False,balanced,log_loss,30.0,log2,,5,4,800,-1,73,0.580094416387895,0.0342809213936434,0.4654769365573988,0.0410029232475642,0.5063797404134782,0.0445730445607911,0.4846999453344122,0.0408367585968229,0.582675521440171,0.0337153950986347,0.6001019041290929,0.0475204239441055
45,0.4978205351848417,True,False,balanced,log_loss,50.0,log2,,8,7,900,-1,73,0.5782971468426695,0.0381428222557323,0.4652564618888489,0.041824843308732,0.5358263222424217,0.0483156904197392,0.4978205351848417,0.0437180840763346,0.5822605651427376,0.0376162292670057,0.5990537329520352,0.0481108632165955
46,0.4923454734253423,False,False,balanced,log_loss,50.0,log2,,7,7,900,-1,73,0.5779387262183072,0.0389298910198466,0.4641821591752437,0.043805226742615,0.5247748699953494,0.0504096753970459,0.4923454734253423,0.0456355553334053,0.5815034298458329,0.0384047151552218,0.599048210703956,0.0467713169252445
47,0.4937630951589816,False,False,balanced,log_loss,50.0,log2,,7,3,1000,-1,73,0.5786600880875192,0.0373153721419989,0.4651597160624217,0.0417595307574386,0.5266224157612143,0.0457781093077085,0.4937630951589816,0.0426247979377775,0.5822988874341646,0.0367346760721524,0.5988551931129236,0.0471779710746858
48,0.4966896621460785,False,False,balanced,log_loss,50.0,log2,,8,3,1000,-1,73,0.5793743461245366,0.0360446033068733,0.4661367201369836,0.0400332245883486,0.5321481418847502,0.0467908426214334,0.4966896621460785,0.0417777695715443,0.5831303409468578,0.0355472600702116,0.5992901611718079,0.0477269074118551
49,0.4966896621460785,False,False,balanced,log_loss,50.0,log2,,8,2,1000,-1,73,0.5793743461245366,0.0360446033068733,0.4661367201369836,0.0400332245883486,0.5321481418847502,0.0467908426214334,0.4966896621460785,0.0417777695715443,0.5831303409468578,0.0355472600702116,0.5992901611718079,0.0477269074118551
