trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_max_samples,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_n_jobs,param_random_state
16,1,2227,1826,557,24,0.6409335727109515,0.538135593220339,0.5825688073394495,0.5594713656387665,0.6431552692674656,0.6867202511434061,True,balanced,entropy,10.0,0.7,0.6712505581122248,9,34,700,-1,73
16,2,2227,1826,557,3,0.5870736086175943,0.4703196347031963,0.4746543778801843,0.4724770642201835,0.5874116515214214,0.602134724857685,True,balanced,entropy,10.0,0.7,0.6712505581122248,9,34,700,-1,73
16,3,2227,1802,557,15,0.5673249551166966,0.4459459459459459,0.456221198156682,0.4510250569476082,0.568186435843875,0.5964624559501219,True,balanced,entropy,10.0,0.7,0.6712505581122248,9,34,700,-1,73
16,4,2227,1828,557,8,0.5368043087971275,0.4189723320158103,0.488479262672811,0.451063829787234,0.5415972548287364,0.5374762808349146,True,balanced,entropy,10.0,0.7,0.6712505581122248,9,34,700,-1,73
16,5,2228,1818,556,17,0.5629496402877698,0.4424778761061947,0.4608294930875576,0.4514672686230248,0.5644494031352776,0.5675543411769504,True,balanced,entropy,10.0,0.7,0.6712505581122248,9,34,700,-1,73
17,1,2227,1826,557,24,0.6283662477558348,0.5215686274509804,0.6100917431192661,0.5623678646934461,0.6321758268093581,0.6588049037915078,True,balanced,entropy,5.0,sqrt,0.7831889945902594,11,17,400,-1,73
17,2,2227,1826,557,3,0.5763016157989228,0.4585152838427948,0.4838709677419355,0.4708520179372197,0.5781959199521269,0.5879574410409325,True,balanced,entropy,5.0,sqrt,0.7831889945902594,11,17,400,-1,73
17,3,2227,1802,557,15,0.5745062836624776,0.4572649572649572,0.4930875576036866,0.4745011086474501,0.5770705189192732,0.5774735700731906,True,balanced,entropy,5.0,sqrt,0.7831889945902594,11,17,400,-1,73
17,4,2227,1828,557,8,0.5368043087971275,0.4127659574468085,0.4470046082949309,0.4292035398230088,0.5397300094640974,0.532068311195446,True,balanced,entropy,5.0,sqrt,0.7831889945902594,11,17,400,-1,73
17,5,2228,1818,556,17,0.5449640287769785,0.4268292682926829,0.4838709677419355,0.4535637149028078,0.5490481722320646,0.5694574718268695,True,balanced,entropy,5.0,sqrt,0.7831889945902594,11,17,400,-1,73
18,1,2227,1826,557,24,0.6499102333931778,0.5614973262032086,0.481651376146789,0.5185185185185185,0.6441653206130445,0.6841898730751536,True,balanced,log_loss,30.0,sqrt,0.6897607035668347,4,7,900,-1,73
18,2,2227,1826,557,3,0.5816876122082585,0.4646017699115044,0.4838709677419355,0.474040632054176,0.5831314614204594,0.594815668202765,True,balanced,log_loss,30.0,sqrt,0.6897607035668347,4,7,900,-1,73
