trial_number,fold,train_row_count,filtered_train_row_count,validation_row_count,selected_feature_count,accuracy,precision,recall,f1,f1_weighted,roc_auc,param_class_weight,param_early_stopping,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_random_state
9,5,2228,1818,556,17,0.5989208633093526,0.4666666666666667,0.1935483870967742,0.2736156351791531,0.5475994173807373,0.5728695132063674,,False,0.9134135706356248,0.0247116201270494,127,3.0,400,63,37,73
10,1,2227,1826,557,24,0.6463195691202872,0.5502392344497608,0.5275229357798165,0.5386416861826698,0.6449089418328949,0.6489134258883387,balanced,False,0.769804441292135,0.0110483643917498,127,5.0,100,15,21,73
10,2,2227,1826,557,3,0.5906642728904847,0.4715025906735751,0.4193548387096774,0.4439024390243902,0.5856610285541406,0.573414204391434,balanced,False,0.769804441292135,0.0110483643917498,127,5.0,100,15,21,73
10,3,2227,1802,557,15,0.5655296229802513,0.4521072796934866,0.543778801843318,0.4937238493723849,0.5704973180097264,0.592321767416644,balanced,False,0.769804441292135,0.0110483643917498,127,5.0,100,15,21,73
10,4,2227,1828,557,8,0.5152603231597845,0.3984674329501915,0.4792626728110599,0.4351464435146444,0.520802792820769,0.5371238818107889,balanced,False,0.769804441292135,0.0110483643917498,127,5.0,100,15,21,73
10,5,2228,1818,556,17,0.564748201438849,0.4463519313304721,0.4792626728110599,0.4622222222222222,0.5672261707250514,0.5577056400636189,balanced,False,0.769804441292135,0.0110483643917498,127,5.0,100,15,21,73
11,1,2227,1826,557,24,0.6319569120287253,0.5308056872037915,0.5137614678899083,0.5221445221445221,0.6308347416211495,0.6426145435847475,balanced,False,0.7544915358279544,0.0101339430648566,127,5.0,100,15,20,73
11,2,2227,1826,557,3,0.585278276481149,0.4656862745098039,0.4377880184331797,0.4513064133016627,0.5827650957865843,0.5838641908376253,balanced,False,0.7544915358279544,0.0101339430648566,127,5.0,100,15,20,73
11,3,2227,1802,557,15,0.5601436265709157,0.4469696969696969,0.543778801843318,0.4906444906444906,0.5653039099651368,0.5991054486310653,balanced,False,0.7544915358279544,0.0101339430648566,127,5.0,100,15,20,73
11,4,2227,1828,557,8,0.5206463195691203,0.4045801526717557,0.488479262672811,0.4425887265135699,0.5261779600218758,0.536039577121171,balanced,False,0.7544915358279544,0.0101339430648566,127,5.0,100,15,20,73
11,5,2228,1818,556,17,0.539568345323741,0.4170212765957446,0.4516129032258064,0.4336283185840708,0.5424576187802775,0.5510106983130105,balanced,False,0.7544915358279544,0.0101339430648566,127,5.0,100,15,20,73
12,1,2227,1826,557,24,0.644524236983842,0.5485436893203883,0.518348623853211,0.5330188679245284,0.6425850131741149,0.6495561689805418,balanced,False,0.6636263539464494,0.0108630821485601,127,5.0,100,15,21,73
12,2,2227,1826,557,3,0.5888689407540395,0.4690721649484536,0.4193548387096774,0.4428223844282238,0.5840907461658549,0.5744171862293305,balanced,False,0.6636263539464494,0.0108630821485601,127,5.0,100,15,21,73
12,3,2227,1802,557,15,0.5655296229802513,0.4517374517374517,0.5391705069124424,0.4915966386554621,0.5703966846442657,0.5948021143941448,balanced,False,0.6636263539464494,0.0108630821485601,127,5.0,100,15,21,73
12,4,2227,1828,557,8,0.518850987432675,0.4065934065934066,0.511520737327189,0.4530612244897959,0.5247551969275488,0.536832474925454,balanced,False,0.6636263539464494,0.0108630821485601,127,5.0,100,15,21,73
12,5,2228,1818,556,17,0.5449640287769785,0.423728813559322,0.4608294930875576,0.4415011037527593,0.5479470266153095,0.5608526025311638,balanced,False,0.6636263539464494,0.0108630821485601,127,5.0,100,15,21,73
13,1,2227,1826,557,24,0.6014362657091562,0.4915254237288136,0.5321100917431193,0.5110132158590308,0.603902348886887,0.6541365592270845,balanced,False,0.6224143035159295,0.0166857917059634,127,5.0,100,15,18,73
13,2,2227,1826,557,3,0.5870736086175943,0.4640883977900552,0.3870967741935484,0.4221105527638191,0.5787793767590245,0.5760775277853076,balanced,False,0.6224143035159295,0.0166857917059634,127,5.0,100,15,18,73
13,3,2227,1802,557,15,0.5727109515260324,0.4571428571428571,0.5161290322580645,0.4848484848484848,0.5764841862913258,0.5836269991867715,balanced,False,0.6224143035159295,0.0166857917059634,127,5.0,100,15,18,73
13,4,2227,1828,557,8,0.5080789946140036,0.3992932862190813,0.5207373271889401,0.452,0.5141070298656718,0.5372323122797507,balanced,False,0.6224143035159295,0.0166857917059634,127,5.0,100,15,18,73
13,5,2228,1818,556,17,0.5449640287769785,0.4243697478991596,0.4654377880184331,0.4439560439560439,0.5481925945018484,0.565957070810054,balanced,False,0.6224143035159295,0.0166857917059634,127,5.0,100,15,18,73
14,1,2227,1826,557,24,0.6427289048473968,0.5404255319148936,0.5825688073394495,0.5607064017660044,0.6448384094652239,0.6701442450813239,balanced,False,0.9863558105948484,0.0450351826771088,127,10.0,200,15,27,73
14,2,2227,1826,557,3,0.5601436265709157,0.4416666666666666,0.488479262672811,0.4638949671772429,0.5635130621356865,0.5657698563296286,balanced,False,0.9863558105948484,0.0450351826771088,127,10.0,200,15,27,73
14,3,2227,1802,557,15,0.5583482944344704,0.4372294372294372,0.4654377880184331,0.4508928571428571,0.5606071174406003,0.5613309840065058,balanced,False,0.9863558105948484,0.0450351826771088,127,10.0,200,15,27,73
14,4,2227,1828,557,8,0.5080789946140036,0.3908045977011494,0.4700460829493088,0.4267782426778242,0.5137035749366324,0.50304960693955,balanced,False,0.9863558105948484,0.0450351826771088,127,10.0,200,15,27,73
14,5,2228,1818,556,17,0.5251798561151079,0.3991416309012875,0.4285714285714285,0.4133333333333333,0.5278830953364196,0.5368187811807567,balanced,False,0.9863558105948484,0.0450351826771088,127,10.0,200,15,27,73
15,1,2227,1826,557,24,0.6211849192100538,0.5162790697674419,0.5091743119266054,0.5127020785219399,0.6207070212334542,0.6398067711293334,balanced,False,0.8066365075250923,0.0162905621396464,127,5.0,100,15,16,73
15,2,2227,1826,557,3,0.585278276481149,0.4660194174757281,0.4423963133640553,0.4539007092198581,0.5831868825015916,0.5844063431824342,balanced,False,0.8066365075250923,0.0162905621396464,127,5.0,100,15,16,73
15,3,2227,1802,557,15,0.5691202872531418,0.4538152610441767,0.5207373271889401,0.4849785407725321,0.5732754352274929,0.5871645432366495,balanced,False,0.8066365075250923,0.0162905621396464,127,5.0,100,15,16,73
15,4,2227,1828,557,8,0.5116696588868941,0.4,0.5069124423963134,0.4471544715447154,0.5176855445233031,0.5355448631065329,balanced,False,0.8066365075250923,0.0162905621396464,127,5.0,100,15,16,73
15,5,2228,1818,556,17,0.5557553956834532,0.4369747899159664,0.4792626728110599,0.4571428571428571,0.5589073946322394,0.5636189388687247,balanced,False,0.8066365075250923,0.0162905621396464,127,5.0,100,15,16,73
16,1,2227,1826,557,24,0.6265709156193896,0.5204918032786885,0.5825688073394495,0.5497835497835498,0.6296329884901439,0.6603474872127953,balanced,False,0.5743878778798681,0.0158258025315038,127,5.0,200,15,24,73
16,2,2227,1826,557,3,0.5709156193895871,0.4476190476190476,0.4331797235023041,0.4402810304449648,0.5695845537089287,0.5803537544049878,balanced,False,0.5743878778798681,0.0158258025315038,127,5.0,200,15,24,73
16,3,2227,1802,557,15,0.5673249551166966,0.4491525423728814,0.488479262672811,0.4679911699779249,0.5701802378967823,0.5850772567091352,balanced,False,0.5743878778798681,0.0158258025315038,127,5.0,200,15,24,73
16,4,2227,1828,557,8,0.5026929982046678,0.396551724137931,0.5299539170506913,0.4536489151873767,0.5085912157668792,0.5179249119002439,balanced,False,0.5743878778798681,0.0158258025315038,127,5.0,200,15,24,73
16,5,2228,1818,556,17,0.5683453237410072,0.4530612244897959,0.511520737327189,0.4805194805194805,0.5721285908336268,0.570939194975735,balanced,False,0.5743878778798681,0.0158258025315038,127,5.0,200,15,24,73
17,1,2227,1826,557,24,0.6391382405745063,0.5384615384615384,0.5458715596330275,0.5421412300683371,0.6395693383989781,0.6736894806635816,balanced,False,0.5669989877700812,0.0503549681278506,127,10.0,200,63,45,73
17,2,2227,1826,557,3,0.5619389587073609,0.446215139442231,0.5161290322580645,0.4786324786324786,0.5663235102902494,0.575853889943074,balanced,False,0.5669989877700812,0.0503549681278506,127,10.0,200,63,45,73
17,3,2227,1802,557,15,0.5601436265709157,0.4401709401709401,0.4746543778801843,0.4567627494456763,0.5627944182920757,0.5608023854703172,balanced,False,0.5669989877700812,0.0503549681278506,127,10.0,200,63,45,73
17,4,2227,1828,557,8,0.5278276481149012,0.4065040650406504,0.4608294930875576,0.4319654427645788,0.5320980074930263,0.5230550284629981,balanced,False,0.5669989877700812,0.0503549681278506,127,10.0,200,63,45,73
17,5,2228,1818,556,17,0.5467625899280576,0.42152466367713,0.4331797235023041,0.4272727272727272,0.5478294637017659,0.5327950192352133,balanced,False,0.5669989877700812,0.0503549681278506,127,10.0,200,63,45,73
18,1,2227,1826,557,24,0.6391382405745063,0.5344129554655871,0.6055045871559633,0.567741935483871,0.6423285223119923,0.6730264404210982,balanced,False,0.4842257629328351,0.0183142448678372,255,,200,15,26,73
18,2,2227,1826,557,3,0.5709156193895871,0.452991452991453,0.488479262672811,0.4700665188470067,0.5735014937624738,0.5763486039577121,balanced,False,0.4842257629328351,0.0183142448678372,255,,200,15,26,73
18,3,2227,1802,557,15,0.5673249551166966,0.4495798319327731,0.4930875576036866,0.4703296703296703,0.5704158519005017,0.5717809704526972,balanced,False,0.4842257629328351,0.0183142448678372,255,,200,15,26,73
18,4,2227,1828,557,8,0.4991023339317774,0.3860294117647059,0.4838709677419355,0.4294478527607362,0.505231928274829,0.5010707508809975,balanced,False,0.4842257629328351,0.0183142448678372,255,,200,15,26,73
18,5,2228,1818,556,17,0.5701438848920863,0.4541666666666666,0.5023041474654378,0.4770240700218818,0.5734137409867652,0.571224664573223,balanced,False,0.4842257629328351,0.0183142448678372,255,,200,15,26,73
19,1,2227,1826,557,24,0.6337522441651705,0.5339805825242718,0.5045871559633027,0.5188679245283019,0.6317542559975728,0.6343941977213066,balanced,False,0.2012560132022507,0.2762212830402276,255,,200,15,32,73
19,2,2227,1826,557,3,0.5350089766606823,0.41796875,0.4930875576036866,0.452431289640592,0.5400332041080824,0.5539170506912442,balanced,False,0.2012560132022507,0.2762212830402276,255,,200,15,32,73
19,3,2227,1802,557,15,0.5493716337522442,0.413265306122449,0.3732718894009216,0.3922518159806295,0.5446647633197137,0.5486446191379778,balanced,False,0.2012560132022507,0.2762212830402276,255,,200,15,32,73
19,4,2227,1828,557,8,0.4847396768402154,0.3364485981308411,0.3317972350230415,0.334106728538283,0.4840780387071176,0.4798048251558687,balanced,False,0.2012560132022507,0.2762212830402276,255,,200,15,32,73
19,5,2228,1818,556,17,0.5413669064748201,0.404040404040404,0.3686635944700461,0.3855421686746988,0.5371191733066676,0.5429767682122806,balanced,False,0.2012560132022507,0.2762212830402276,255,,200,15,32,73
20,1,2227,1826,557,24,0.6283662477558348,0.5234042553191489,0.5642201834862385,0.543046357615894,0.6305605565794037,0.6562068685556548,balanced,False,0.4908937353311087,0.0364161654443056,255,,100,15,15,73
20,2,2227,1826,557,3,0.547576301615799,0.4279835390946502,0.4792626728110599,0.4521739130434782,0.5513690571247903,0.5632352941176471,balanced,False,0.4908937353311087,0.0364161654443056,255,,100,15,15,73
20,3,2227,1802,557,15,0.5511669658886894,0.430379746835443,0.4700460829493088,0.4493392070484581,0.5542526555505146,0.5755082678232584,balanced,False,0.4908937353311087,0.0364161654443056,255,,100,15,15,73
20,4,2227,1828,557,8,0.4955116696588869,0.3918918918918919,0.5345622119815668,0.4522417153996101,0.5011994007512044,0.5110328002168609,balanced,False,0.4908937353311087,0.0364161654443056,255,,100,15,15,73
20,5,2228,1818,556,17,0.5827338129496403,0.4688796680497925,0.5207373271889401,0.4934497816593886,0.5860102911621267,0.5833911069423487,balanced,False,0.4908937353311087,0.0364161654443056,255,,100,15,15,73
21,1,2227,1826,557,24,0.6373429084380611,0.5317460317460317,0.6146788990825688,0.5702127659574469,0.6408870463951121,0.6784525452626452,balanced,False,0.542018378267407,0.0175394114971691,255,,200,15,25,73
21,2,2227,1826,557,3,0.585278276481149,0.4695652173913043,0.4976958525345622,0.4832214765100671,0.5872673895240637,0.5802249932230956,balanced,False,0.542018378267407,0.0175394114971691,255,,200,15,25,73
21,3,2227,1802,557,15,0.5601436265709157,0.4411764705882353,0.4838709677419355,0.4615384615384615,0.5632858245461531,0.5718758471130387,balanced,False,0.542018378267407,0.0175394114971691,255,,200,15,25,73
21,4,2227,1828,557,8,0.4829443447037702,0.3709090909090909,0.4700460829493088,0.4146341463414634,0.4893141059658503,0.4990105719707238,balanced,False,0.542018378267407,0.0175394114971691,255,,200,15,25,73
21,5,2228,1818,556,17,0.564748201438849,0.4468085106382978,0.4838709677419355,0.4646017699115044,0.5674794677532311,0.5732637331267076,balanced,False,0.542018378267407,0.0175394114971691,255,,200,15,25,73
22,1,2227,1826,557,24,0.6409335727109515,0.5365853658536586,0.6055045871559633,0.5689655172413793,0.6440337351004101,0.6713079483640496,balanced,False,0.490543257165778,0.0207323896173135,255,,200,15,26,73
22,2,2227,1826,557,3,0.5763016157989228,0.4609053497942387,0.5161290322580645,0.4869565217391304,0.5798535614343274,0.5793168880455408,balanced,False,0.490543257165778,0.0207323896173135,255,,200,15,26,73
22,3,2227,1802,557,15,0.5691202872531418,0.4522821576763485,0.5023041474654378,0.4759825327510917,0.5725277660763877,0.565790187042559,balanced,False,0.490543257165778,0.0207323896173135,255,,200,15,26,73
22,4,2227,1828,557,8,0.5026929982046678,0.3936170212765957,0.511520737327189,0.4448897795591182,0.5088022814761486,0.4966657630794253,balanced,False,0.490543257165778,0.0207323896173135,255,,200,15,26,73
22,5,2228,1818,556,17,0.5665467625899281,0.4487179487179487,0.4838709677419355,0.4656319290465632,0.5691421516523142,0.5689816891643897,balanced,False,0.490543257165778,0.0207323896173135,255,,200,15,26,73
23,1,2227,1826,557,24,0.6229802513464991,0.5158730158730159,0.5963302752293578,0.5531914893617021,0.6266647512028393,0.670780222456767,balanced,False,0.6990815505927134,0.0241207523692418,255,,300,15,41,73
23,2,2227,1826,557,3,0.5619389587073609,0.4478764478764478,0.5345622119815668,0.4873949579831932,0.566846244021491,0.5758132285172133,balanced,False,0.6990815505927134,0.0241207523692418,255,,300,15,41,73
23,3,2227,1802,557,15,0.5385996409335727,0.4180327868852459,0.4700460829493088,0.4425162689804772,0.5425724602945736,0.5609108159392788,balanced,False,0.6990815505927134,0.0241207523692418,255,,300,15,41,73
23,4,2227,1828,557,8,0.5242369838420108,0.4097744360902255,0.5023041474654378,0.4513457556935817,0.5298973169311915,0.516766061263215,balanced,False,0.6990815505927134,0.0241207523692418,255,,300,15,41,73
23,5,2228,1818,556,17,0.5575539568345323,0.4361233480176211,0.456221198156682,0.4459459459459459,0.559224735440649,0.551812731944048,balanced,False,0.6990815505927134,0.0241207523692418,255,,300,15,41,73
24,1,2227,1826,557,24,0.6283662477558348,0.5222672064777328,0.591743119266055,0.5548387096774193,0.6316517617839921,0.6681280614868339,balanced,False,0.4812300865095408,0.0205235133689076,255,,200,15,31,73
24,2,2227,1826,557,3,0.5745062836624776,0.4579831932773109,0.5023041474654378,0.4791208791208791,0.5775458792548502,0.5785714285714286,balanced,False,0.4812300865095408,0.0205235133689076,255,,200,15,31,73
24,3,2227,1802,557,15,0.5547576301615799,0.4351464435146444,0.4792626728110599,0.4561403508771929,0.5580548644233678,0.5690973163458931,balanced,False,0.4812300865095408,0.0205235133689076,255,,200,15,31,73
24,4,2227,1828,557,8,0.5116696588868941,0.3962264150943396,0.4838709677419355,0.4356846473029045,0.5174406724249185,0.5066074817023583,balanced,False,0.4812300865095408,0.0205235133689076,255,,200,15,31,73
24,5,2228,1818,556,17,0.5539568345323741,0.4351464435146444,0.4792626728110599,0.4561403508771929,0.5572372653866637,0.5630955779399971,balanced,False,0.4812300865095408,0.0205235133689076,255,,200,15,31,73
25,1,2227,1826,557,24,0.6463195691202872,0.5488372093023256,0.5412844036697247,0.5450346420323325,0.6458733800141728,0.6679927471516334,balanced,False,0.1712841597689189,0.0660051061826213,255,,100,63,28,73
25,2,2227,1826,557,3,0.5385996409335727,0.4206349206349206,0.488479262672811,0.4520255863539446,0.5432974578487464,0.5584846841962592,balanced,False,0.1712841597689189,0.0660051061826213,255,,100,63,28,73
25,3,2227,1802,557,15,0.5709156193895871,0.4485981308411215,0.4423963133640553,0.445475638051044,0.5703646385052303,0.5589184060721062,balanced,False,0.1712841597689189,0.0660051061826213,255,,100,63,28,73
25,4,2227,1828,557,8,0.5062836624775583,0.3791666666666666,0.4193548387096774,0.3982494529540481,0.5100656819890358,0.5079696394686907,balanced,False,0.1712841597689189,0.0660051061826213,255,,100,63,28,73
25,5,2228,1818,556,17,0.5629496402877698,0.431578947368421,0.3778801843317972,0.4029484029484029,0.5568219333258365,0.5433302067615513,balanced,False,0.1712841597689189,0.0660051061826213,255,,100,63,28,73
26,1,2227,1826,557,24,0.6265709156193896,0.5211864406779662,0.5642201834862385,0.5418502202643172,0.6288814800381644,0.6563692457578956,balanced,False,0.4675363561604091,0.0134530962813993,255,10.0,300,15,15,73
