trial_number,objective_value,is_best,param_class_weight,param_early_stopping,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,param_random_state,cv_mean_accuracy,cv_std_accuracy,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_f1_weighted,cv_std_f1_weighted,cv_mean_roc_auc,cv_std_roc_auc
37,0.3536509079886717,False,,False,0.3624118538300421,0.0229398981560613,255,,100,31,37,73,0.6116980742156722,0.0413934016441687,0.4971810247690885,0.0907733688936707,0.2751913076565341,0.0747877199289514,0.3536509079886717,0.0845878762221315,0.5785489758670496,0.0489445004391229,0.5817632206892295,0.0541543963301869
38,0.4829559525300165,False,balanced,False,0.4367980656334225,0.0123930278748552,255,,100,15,35,73,0.5596231094119319,0.0357201466278081,0.4465005644980261,0.0348640663671282,0.530296368325371,0.0717390590851574,0.4829559525300165,0.0441899024303393,0.5628858369735554,0.0355746660958593,0.5828262196250771,0.0491648964203531
39,0.2438536655784712,False,,False,0.024876345579639,0.0190919169601678,255,3.0,200,15,39,73,0.6214012631905248,0.0255799868681819,0.5466045608148784,0.1072596847657018,0.1592060203779647,0.0564225799845402,0.2438536655784712,0.0741204304340773,0.5508517802583762,0.0361644829961082,0.5868742394804329,0.0415383881530581
40,0.4555169504697122,False,balanced,False,0.2743368792252275,0.0854023871950451,255,,100,31,29,73,0.5632195859111633,0.0481941729621235,0.4450015158394711,0.0563203134394674,0.4686086331543567,0.0615665918270434,0.4555169504697122,0.0553014272722229,0.5646190120063748,0.0469016138689381,0.5683349021579787,0.0575343815064993
41,0.4819388686058848,False,balanced,False,0.4261016841539871,0.0122902727331937,255,,100,15,35,73,0.556751869599473,0.0348500713240325,0.4440231587524563,0.0330802685684239,0.5312222551050607,0.0679097142312146,0.4819388686058848,0.0413868194215779,0.5602094824790772,0.0345558878510852,0.5815262026471446,0.0476701510522849
42,0.4782489073295134,False,balanced,False,0.4418057999568266,0.0149229961256658,255,,100,15,44,73,0.5592621055758624,0.0313878507672163,0.4441002537254344,0.0336158137930186,0.5201581194774447,0.0640586416998065,0.4782489073295134,0.0437958011084361,0.5631470446400392,0.0310687515108073,0.583798378662095,0.0420673286907257
43,0.4809446860323723,False,balanced,False,0.3463311039554406,0.010022212427107,255,,100,15,35,73,0.555671441302972,0.0384591996383091,0.442900422685932,0.0362508564740729,0.5312053439310025,0.0766123622386812,0.4809446860323723,0.0468612981141379,0.5588850556705596,0.0382197402454684,0.5808503932284467,0.0478101548709415
44,0.4630998697501839,False,balanced,False,0.5221815497583451,0.0254983003793732,255,,400,15,38,73,0.556392803172184,0.0349334105967826,0.4390723446266424,0.0395035492252374,0.4907199932355304,0.047070719660082,0.4630998697501839,0.0412307175334288,0.5598085899928545,0.0343156123076877,0.568712897929877,0.0520989945443133
45,0.2304822382792272,False,,False,0.6076692549055935,0.0121328528869657,255,3.0,200,15,33,73,0.6239153739844749,0.0169507069045927,0.5639406262084897,0.0807855985996818,0.1463408447131442,0.0445698524066356,0.2304822382792272,0.0603243401301522,0.5479328194759113,0.0276721829419324,0.5839392389042923,0.0372576508814116
46,0.4836993527747427,False,balanced,False,0.6793027710295857,0.0149840788187742,255,,100,63,36,73,0.5668102501840538,0.0244426004421466,0.451743722727442,0.0274631828024779,0.5211051452247072,0.0444740439384803,0.4836993527747427,0.0336739189063083,0.5708610090789353,0.0242587355195888,0.5845134577387434,0.0489849002521292
47,0.4515050690837043,False,balanced,False,0.673590793646133,0.134920768707388,255,,100,63,43,73,0.568252328119551,0.0371276180498558,0.4493593304497941,0.0460503079198691,0.4557434574895362,0.0476998011130213,0.4515050690837043,0.0413951195782873,0.5683493529031584,0.0356153391661722,0.5649765525823399,0.0533705910199453
48,0.4713282999778595,False,balanced,False,0.7220510604726983,0.0153594765845446,255,,200,63,31,73,0.5700431396355088,0.0382115173201877,0.4533143616252168,0.0440334196996375,0.4925421722403078,0.0590237290696892,0.4713282999778595,0.0484228327554756,0.5723374275855081,0.0376429824790172,0.5791940746054358,0.0541495171409137
49,0.4618257840307512,False,balanced,False,0.807677618316869,0.0276009962289476,255,3.0,100,63,37,73,0.5660811386797204,0.0453945206103349,0.4508252984413665,0.0501027597190997,0.4778294508096224,0.0578502697488339,0.4618257840307512,0.045450274879473,0.5670596904541085,0.0432179656894743,0.5845217162048083,0.0363715521678342
